City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain,Snow
Collie,AU,-33.37,116.15,53.01,55,88,8.25,,0.0,0
Umea,SE,63.83,20.26,55.4,71,68,11.41,,0.0,0
Lasa,IT,46.62,10.7,60.8,59,75,5.82,,0.0,0
Lakatoro,VU,-16.1,167.42,75.2,78,90,9.17,,0.0,0
Schoneiche,DE,52.47,13.68,73.0,46,44,6.93,,0.0,0
Nioro,GM,13.35,-15.75,93.9,44,45,3.6,,0.0,0
Nizhniy Baskunchak,RU,48.22,46.83,84.94,18,0,7.02,,0.0,0
Klaksvik,FO,62.23,-6.59,48.2,70,1,12.75,,0.0,0
Kysyl-Syr,RU,63.9,122.76,51.93,89,98,5.86,,0.0,0
Namibe,AO,-15.2,12.15,69.84,76,0,2.75,,0.0,0
Portland,US,45.52,-122.68,64.99,63,90,3.36,,0.0,0
Innisfail,AU,-17.53,146.03,66.13,86,43,7.4,,0.12,0
San Patricio,MX,19.22,-104.7,87.8,70,75,23.04,,0.0,0
Tsivilsk,RU,55.86,47.47,69.8,83,20,6.71,,0.0,0
Margate,GB,51.38,1.39,64.99,62,83,4.0,,0.0,0
Maltahohe,NA,-24.83,16.98,55.69,35,0,8.66,,0.0,0
Shingu,JP,33.73,135.98,74.32,94,100,15.52,,1.27,0
Anadyr,RU,64.75,177.48,48.2,61,99,15.66,,0.0,0
Czluchow,PL,53.67,17.36,66.0,64,19,5.01,,0.0,0
Meulaboh,ID,4.14,96.13,80.29,81,96,2.91,,0.0,0
Hangu,CN,39.25,117.79,71.6,83,73,2.24,,0.0,0
Nsawam,GH,5.81,-0.35,80.6,78,40,21.92,,0.0,0
Illertissen,DE,48.22,10.1,70.0,45,40,3.36,,0.0,0
Zhanaozen,KZ,43.3,52.8,80.92,15,0,9.48,,0.0,0
Makushino,RU,55.21,67.24,53.65,88,67,7.47,,0.0,0
Katsuura,JP,35.13,140.3,73.4,100,75,9.17,,0.0,0
Naze,JP,28.37,129.48,80.6,100,90,11.41,,0.0,0
Shalinskoye,RU,55.72,93.76,64.76,91,97,4.94,,0.48,0
Izhmorskiy,RU,56.19,86.64,62.76,94,13,4.25,,0.0,0
Emerald,AU,-23.53,148.17,57.2,67,40,6.93,,0.0,0
Bandundu,CD,-3.32,17.37,87.06,39,46,1.39,,0.0,0
Bansang,GM,13.43,-14.65,84.2,74,20,4.7,,0.0,0
Cuamba,MZ,-14.8,36.54,63.95,73,44,6.58,,0.0,0
Flinders,AU,-34.58,150.86,54.0,62,59,4.0,,0.0,0
Yining,CN,29.04,114.56,76.32,91,83,0.67,,0.31,0
Port Hardy,CA,50.7,-127.42,57.2,76,20,5.82,,0.0,0
Praia,CV,14.92,-23.51,84.2,62,20,14.99,,0.0,0
Mendi,PG,-6.18,143.65,55.27,100,97,1.54,,0.74,0
Bahce,TR,37.2,36.58,89.6,29,0,8.05,,0.0,0
Ise,JP,34.48,136.7,73.4,94,75,12.75,,0.0,0
Muros,ES,42.78,-9.06,70.0,57,4,8.99,,0.0,0
Altamira,BR,-3.2,-52.21,89.6,62,40,4.7,,0.0,0
Huarmey,PE,-10.07,-78.15,67.68,63,45,9.31,,0.0,0
Gigmoto,PH,13.78,124.39,80.69,80,97,4.59,,0.45,0
Doka,SD,13.52,35.77,83.46,55,29,8.79,,0.13,0
Grottammare,IT,42.99,13.86,73.99,81,52,0.67,,0.12,0
Boddam,GB,57.47,-1.78,55.4,87,90,8.05,,0.0,0
Padang,ID,-0.95,100.35,78.42,83,100,5.82,,2.44,0
Sikeston,US,36.88,-89.59,89.6,62,40,3.36,,0.0,0
Ahipara,NZ,-35.17,173.17,47.55,78,1,3.98,,0.0,0
Hami,CN,42.8,93.45,86.56,14,3,16.37,,0.0,0
Port-Gentil,GA,-0.72,8.78,77.0,88,90,11.41,,0.0,0
Nchelenge,ZM,-9.35,28.73,69.87,45,0,6.96,,0.0,0
Curup,ID,-3.47,102.53,68.99,93,31,4.12,,0.0,0
Sartana,UA,47.17,37.7,87.01,100,0,7.0,,0.0,0
Bubaque,GW,11.28,-15.83,81.48,79,22,10.78,,0.0,0
Priyutnoye,RU,46.1,43.51,84.0,20,0,11.01,,0.0,0
Mazamari,PE,-11.33,-74.53,90.18,38,31,2.08,,0.0,0
Panjakent,TJ,39.5,67.61,71.6,30,55,16.11,,0.0,0
Shubarshi,KZ,48.59,57.19,74.35,60,49,4.56,,0.0,0
Linhares,BR,-19.39,-40.07,80.46,65,33,3.36,,0.58,0
Kidal,ML,18.44,1.41,103.12,6,0,15.19,,0.0,0
Epe,NG,6.58,3.98,78.1,86,94,8.95,,0.16,0
Sistranda,NO,63.73,8.83,48.2,87,75,3.36,,0.0,0
Soubre,CI,5.79,-6.61,78.4,85,65,3.49,,0.45,0
Pimentel,PE,-6.84,-79.93,71.6,60,16,14.99,,0.0,0
Oskaloosa,US,41.3,-92.64,87.8,55,1,10.29,,0.0,0
Merauke,ID,-8.47,140.33,76.01,79,99,14.38,,0.0,0
Pasighat,IN,28.07,95.33,78.62,87,90,3.0,,3.43,0
Arawa,PG,-6.21,155.54,76.46,81,38,3.74,,0.16,0
Tateyama,JP,34.98,139.87,73.4,100,75,9.17,,0.0,0
Blytheville,US,35.93,-89.92,91.4,52,20,6.93,,0.0,0
Washim,IN,20.1,77.15,81.63,77,91,4.54,,3.87,0
Semme,FR,46.2,1.5,71.01,52,92,8.05,,0.0,0
Amparafaravola,MG,-17.58,48.22,55.33,94,72,2.39,,0.0,0
Iisalmi,FI,63.56,27.19,62.6,48,80,12.75,,0.0,0
Vanimo,PG,-2.67,141.3,77.61,85,25,4.18,,0.0,0
Lakhimpur,IN,27.95,80.77,90.88,58,20,10.92,,0.0,0
Rio Claro,BR,-22.41,-47.56,67.78,48,0,2.89,,0.0,0
Mlonggo,ID,-6.53,110.7,77.31,83,35,7.27,,0.0,0
Talcahuano,CL,-36.72,-73.12,55.4,87,75,8.05,,0.0,0
Kaitangata,NZ,-46.28,169.85,46.0,71,100,3.0,,0.0,0
Tawau,MY,4.25,117.89,75.2,100,20,2.24,,0.0,0
Turkistan,KZ,43.0,68.0,69.87,25,0,13.87,,0.0,0
Lamu,KE,-2.27,40.9,77.18,76,85,17.52,,0.0,0
Kununurra,AU,-15.77,128.73,82.4,45,90,14.99,,0.0,0
Teixoso,PT,40.31,-7.46,75.99,49,0,5.99,,0.0,0
Oltu,TR,40.55,42.0,62.65,76,81,1.74,,0.26,0
Galeana,MX,24.83,-100.07,79.0,36,4,3.0,,0.0,0
Sorland,NO,67.67,12.69,51.8,66,81,6.93,,0.0,0
Ust-Ishim,RU,57.69,71.17,56.75,81,47,5.23,,0.0,0
Leshukonskoye,RU,64.9,45.76,63.9,68,48,4.18,,0.0,0
Zhukovo,RU,55.03,36.74,66.2,93,100,2.24,,0.0,0
Invermere,CA,50.52,-116.04,68.25,36,2,7.58,,0.0,0
Kiama,AU,-34.68,150.87,54.0,75,62,13.02,,0.0,0
Nabire,ID,-3.37,135.48,75.85,87,100,3.94,,0.31,0
Apac,UG,1.98,32.54,68.27,86,39,3.18,,0.16,0
Porto Santo,PT,33.07,-16.34,69.8,68,40,18.34,,0.0,0
Sechura,PE,-5.56,-80.82,72.95,58,68,9.6,,0.0,0
Port Augusta,AU,-32.5,137.77,48.2,93,90,6.93,,0.0,0
Grand Gaube,MU,-20.01,57.66,73.0,58,42,10.0,,0.0,0
Chitradurga,IN,14.23,76.4,71.26,84,100,20.2,,0.0,0
Kudahuvadhoo,MV,2.67,72.89,84.63,68,100,5.48,,0.0,0
Malatya,TR,38.5,38.0,75.2,41,54,4.7,,0.0,0
Paamiut,GL,61.99,-49.67,42.75,80,0,5.53,,0.0,0
Plettenberg Bay,ZA,-34.05,23.37,55.11,77,10,0.76,,0.0,0
Haines Junction,CA,60.75,-137.51,68.38,27,86,2.15,,0.0,0
Celmira,PA,8.54,-82.8,86.0,70,40,6.93,,0.0,0
Bodrum,TR,37.04,27.43,78.8,74,0,4.7,,0.0,0
Savannah Bight,HN,16.45,-85.85,82.83,79,78,12.35,,0.0,0
Coquimbo,CL,-29.95,-71.34,57.2,82,0,11.41,,0.0,0
Hurghada,EG,27.26,33.81,96.8,14,0,4.7,,0.0,0
Yarmouth,US,41.71,-70.23,73.4,78,90,12.75,,0.0,0
Vestmanna,FO,62.16,-7.17,48.2,70,52,12.75,,0.0,0
Esperance,AU,-33.87,121.9,50.0,93,0,9.17,,0.0,0
Thomaston,US,32.89,-84.33,93.0,52,40,5.82,,0.0,0
Baruun-Urt,MN,46.68,113.28,62.4,74,33,5.1,,0.0,0
Fallon,US,39.47,-118.78,82.0,18,1,5.82,,0.0,0
Kenora,CA,49.82,-94.43,86.0,58,75,12.75,,0.0,0
Pokhara,NP,28.23,83.98,74.01,79,95,1.63,,0.4,0
Marrakesh,MA,31.63,-8.01,100.4,21,20,9.17,,0.0,0
Azzano Decimo,IT,45.88,12.71,78.8,57,40,5.82,,0.0,0
Gamba,GA,-2.65,10.0,74.48,85,87,8.23,,0.0,0
Angoche,MZ,-16.23,39.91,71.02,79,22,9.69,,0.0,0
Vaitape,PF,-16.52,-151.75,80.78,81,48,11.99,,0.0,0
Mani,CO,4.82,-72.29,80.85,79,73,4.79,,0.27,0
Ola,RU,59.58,151.28,46.15,88,85,1.28,,0.0,0
Bo Rai,TH,12.57,102.54,75.92,92,99,4.45,,0.81,0
Urusha,RU,54.05,122.9,54.41,95,87,2.53,,0.0,0
Atar,MR,20.52,-13.05,114.1,6,44,7.4,,0.0,0
Fomboni,KM,-12.28,43.74,76.95,71,1,14.05,,0.0,0
North Augusta,US,33.5,-81.97,93.2,41,20,4.7,,0.0,0
Limbang,MY,4.75,115.0,78.01,100,75,1.12,,0.0,0
Klyuchi,RU,52.27,79.17,64.09,78,71,2.08,,0.0,0
Mogadishu,SO,2.04,45.34,78.31,79,100,19.53,,0.0,0
Alappuzha,IN,9.49,76.33,79.34,85,100,6.62,,0.33,0
Karratha,AU,-20.74,116.85,71.22,32,4,18.7,,0.0,0
Undory,RU,54.61,48.39,71.6,73,63,4.47,,0.27,0
Somerset West,ZA,-34.08,18.82,50.0,87,14,3.36,,0.0,0
Sola,VU,-13.88,167.55,77.0,88,90,9.17,,0.0,0
Komsomolskiy,UZ,40.43,71.72,73.4,38,22,2.24,,0.0,0
Kodigenahalli,IN,13.72,77.39,69.8,100,75,8.05,,0.0,0
Emirdag,TR,39.02,31.15,77.09,34,21,2.82,,0.0,0
Forbes,AU,-33.38,148.02,43.0,82,54,1.01,,0.0,0
Tisovec,SK,48.68,19.94,68.0,88,75,1.12,,0.0,0
Lengshuitan,CN,26.41,111.6,78.03,89,100,3.15,,0.0,0
Weligama,LK,5.97,80.42,79.79,87,100,8.43,,0.92,0
Iwanai,JP,42.97,140.51,57.67,89,3,5.61,,0.0,0
Valverde Del Camino,ES,37.58,-6.75,78.01,37,0,11.99,,0.0,0
Bilibino,RU,68.05,166.44,50.38,65,12,7.45,,0.0,0
Bardiyah,LY,31.76,25.09,75.56,78,0,11.81,,0.0,0
Cockburn Town,TC,21.46,-71.14,86.0,70,40,9.17,,0.0,0
Katobu,ID,-4.94,122.53,73.27,91,70,5.28,,0.0,0
Alofi,NU,-19.06,-169.92,71.6,83,100,11.41,,0.0,0
Talnakh,RU,69.49,88.4,60.8,55,27,13.42,,0.0,0
Cobija,BO,-11.03,-68.77,84.81,42,0,3.6,,0.0,0
Polovinnoye,RU,54.79,65.99,54.14,87,76,4.5,,0.0,0
Saint-Augustin,CA,51.23,-58.65,55.94,62,74,11.99,,0.0,0
Polunochnoye,RU,60.87,60.42,54.84,93,82,2.01,,0.0,0
Albury,AU,-36.08,146.92,39.2,86,7,6.93,,0.0,0
Korla,CN,41.76,86.15,89.01,48,83,3.0,,0.0,0
Caravelas,BR,-17.71,-39.25,80.38,65,53,8.01,,0.0,0
Wanning,CN,18.8,110.4,82.08,88,100,10.65,,0.13,0
Havoysund,NO,71.0,24.66,50.0,71,23,11.41,,0.0,0
Russell,US,32.35,-85.2,91.99,62,75,5.82,,0.0,0
Hisar,IN,29.17,75.72,104.61,22,1,3.85,,0.0,0
Funtua,NG,11.52,7.31,78.21,78,66,12.5,,5.98,0
Kaeo,NZ,-35.1,173.78,48.99,3,0,1.01,,0.0,0
Cervo,ES,43.67,-7.41,64.99,76,20,10.0,,0.0,0
Cassilandia,BR,-19.11,-51.73,76.98,41,0,3.69,,0.0,0
Byron Bay,AU,-28.65,153.62,57.2,76,42,12.75,,0.0,0
Karpushikha,RU,57.5,59.9,55.78,92,19,2.8,,0.0,0
Iqaluit,CA,63.75,-68.51,50.0,66,75,6.93,,0.0,0
Spornoye,RU,50.84,37.29,80.6,47,0,6.71,,0.0,0
Murray Bridge,AU,-35.12,139.27,46.0,95,73,4.0,,0.0,0
Baghdad,IQ,33.34,44.4,95.0,20,0,3.36,,0.0,0
Saint Marys,US,30.73,-81.55,88.0,89,1,11.41,,0.0,0
Krasnoarmeysk,RU,51.02,45.7,71.22,57,1,2.55,,0.0,0
Redlands,US,34.06,-117.18,87.01,17,5,5.88,,0.0,0
Ankola,IN,14.67,74.3,78.49,82,97,7.05,,0.0,0
Kivioli,EE,59.35,26.97,59.92,71,47,1.36,,0.0,0
Viedma,AR,-40.81,-63.0,53.64,47,93,16.4,,0.0,0
Kolobrzeg,PL,54.18,15.58,64.99,66,67,2.15,,0.0,0
Yerbogachen,RU,61.28,108.01,53.01,68,53,1.86,,0.0,0
Kendari,ID,-3.94,122.5,73.8,94,100,3.78,,0.12,0
Mehamn,NO,71.04,27.85,50.0,71,53,6.93,broken clouds,0.0,0
Kurumkan,RU,54.3,110.3,67.41,54,49,2.24,scattered clouds,0.0,0
Port Lincoln,AU,-34.73,135.87,52.61,77,90,8.63,overcast clouds,0.0,0
Puerto Ayora,EC,-0.74,-90.35,78.8,61,20,8.05,few clouds,0.0,0
Ilmajoki,FI,62.73,22.57,59.0,54,9,5.82,clear sky,0.0,0
Along,IN,28.17,94.77,75.22,88,99,0.83,moderate rain,1.53,0
Rikitea,PF,-23.12,-134.97,71.37,72,68,21.36,broken clouds,0.0,0
Arraial Do Cabo,BR,-22.97,-42.03,71.6,68,75,8.05,broken clouds,0.0,0
Bambous Virieux,MU,-20.34,57.76,73.0,64,75,10.29,broken clouds,0.0,0
Punta Arenas,CL,-53.15,-70.92,33.8,94,90,4.7,mist,0.0,0
Thompson,CA,55.74,-97.86,78.8,50,20,3.36,few clouds,0.0,0
Cape Town,ZA,-33.93,18.42,51.01,87,6,3.36,clear sky,0.0,0
Tessalit,ML,20.2,1.01,104.47,7,0,14.97,clear sky,0.0,0
Vardo,NO,70.37,31.11,50.0,81,92,11.41,overcast clouds,0.0,0
Atuona,PF,-9.8,-139.03,79.75,79,4,24.87,light rain,0.15,0
Acapulco,MX,16.86,-99.89,89.6,52,40,6.11,scattered clouds,0.0,0
Geraldton,AU,-28.77,114.6,62.6,39,27,20.8,scattered clouds,0.0,0
Cabo San Lucas,MX,22.89,-109.91,93.2,62,20,9.17,few clouds,0.0,0
Torbay,CA,47.67,-52.73,48.99,81,90,14.99,overcast clouds,0.0,0
Vaini,TO,-21.2,-175.2,68.0,77,40,8.05,scattered clouds,0.0,0
Gorontalo,ID,0.54,123.06,74.17,90,100,1.83,overcast clouds,0.0,0
Spirit River,CA,55.78,-118.84,55.0,81,75,16.11,broken clouds,0.0,0
Usinsk,RU,65.99,57.53,59.7,82,17,8.99,few clouds,0.0,0
Jamestown,US,42.1,-79.24,82.4,58,1,14.99,clear sky,0.0,0
Fort Nelson,CA,58.81,-122.7,50.0,93,90,8.05,light rain,0.0,0
Pisco,PE,-13.7,-76.22,62.6,82,90,8.05,overcast clouds,0.0,0
Hithadhoo,MV,-0.6,73.08,85.33,65,93,7.45,overcast clouds,0.0,0
Codrington,AU,-38.27,141.97,49.33,88,91,10.54,light rain,0.18,0
Nikolskoye,RU,59.7,30.79,66.2,52,77,1.25,broken clouds,0.0,0
Yellowknife,CA,62.46,-114.35,62.6,67,75,11.41,broken clouds,0.0,0
New Norfolk,AU,-42.78,147.06,44.01,87,84,3.0,broken clouds,0.0,0
Tuatapere,NZ,-46.13,167.68,39.0,83,100,3.0,light rain,0.12,0
Tiksi,RU,71.69,128.87,34.29,93,100,13.09,light rain,0.34,0
Ponta Do Sol,PT,32.67,-17.1,71.01,64,4,8.28,clear sky,0.0,0
Pangody,RU,65.85,74.49,59.43,93,97,10.98,overcast clouds,0.0,0
Dikson,RU,73.51,80.55,51.73,67,69,15.95,broken clouds,0.0,0
Saldanha,ZA,-33.01,17.94,51.8,81,10,5.82,clear sky,0.0,0
Luderitz,NA,-26.65,15.16,69.8,40,0,4.7,clear sky,0.0,0
Bulolo,PG,-7.2,146.65,68.61,77,88,0.89,overcast clouds,0.0,0
Saint-Andre-Avellin,CA,45.72,-75.07,86.0,48,40,3.36,scattered clouds,0.0,0
Torquay,GB,50.46,-3.51,60.01,93,99,8.99,light rain,0.25,0
Barrow,US,71.29,-156.79,35.6,93,90,19.46,overcast clouds,0.0,0
Georgetown,MY,5.41,100.34,82.4,88,20,2.24,few clouds,0.0,0
Albany,US,42.6,-73.97,82.99,71,97,3.42,moderate rain,2.18,0
Mpanda,TZ,-6.37,31.04,67.42,48,31,2.95,scattered clouds,0.0,0
Carnarvon,AU,-24.87,113.63,59.0,77,0,3.36,clear sky,0.0,0
Qaanaaq,GL,77.48,-69.36,44.53,65,8,2.13,clear sky,0.0,0
Bredasdorp,ZA,-34.53,20.04,50.0,87,2,2.24,clear sky,0.0,0
Coahuayana,MX,18.73,-103.68,75.2,88,90,5.28,overcast clouds,0.0,0
Hilo,US,19.73,-155.09,78.8,65,1,3.87,clear sky,0.0,0
Hofn,IS,64.25,-15.21,44.6,75,75,11.41,broken clouds,0.0,0
Lensk,RU,60.73,114.93,54.68,67,22,3.67,few clouds,0.0,0
Spartanburg,US,34.95,-81.93,89.6,43,40,5.82,scattered clouds,0.0,0
Port Alfred,ZA,-33.59,26.89,55.0,82,1,3.0,clear sky,0.0,0
Bengkulu,ID,-3.8,102.27,76.96,87,44,5.7,light rain,0.24,0
Bandarbeyla,SO,9.49,50.81,79.88,70,15,33.29,few clouds,0.0,0
Hermanus,ZA,-34.42,19.23,48.0,91,25,4.41,scattered clouds,0.0,0
Gushikawa,JP,26.35,127.87,82.4,88,90,8.05,overcast clouds,0.0,0
Barroquinha,BR,-3.02,-41.14,90.82,47,57,7.31,broken clouds,0.0,0
Ushuaia,AR,-54.8,-68.3,28.4,100,90,1.54,shower rain,0.0,0
Yinchuan,CN,38.47,106.27,66.22,69,99,10.31,overcast clouds,0.0,0
Bodden Town,KY,19.28,-81.25,89.01,79,40,9.17,scattered clouds,0.0,0
Port Elizabeth,ZA,-33.92,25.57,51.8,81,0,4.7,clear sky,0.0,0
Camalu,MX,30.85,-116.07,75.97,51,0,9.73,clear sky,0.0,0
Tuntum,BR,-5.26,-44.65,91.6,42,34,4.74,scattered clouds,0.0,0
Niteroi,BR,-22.88,-43.1,71.6,68,75,16.11,broken clouds,0.0,0
Abaza,RU,52.66,90.09,60.53,72,0,4.09,clear sky,0.0,0
Santa Luzia,BR,-19.77,-43.85,78.8,41,40,9.17,scattered clouds,0.0,0
Mataura,NZ,-46.19,168.86,39.0,83,100,3.0,overcast clouds,0.0,0
East London,ZA,-33.02,27.91,61.84,67,0,6.42,clear sky,0.0,0
Lebu,CL,-37.62,-73.65,52.65,86,98,14.9,moderate rain,1.36,0
Castro,BR,-24.79,-50.01,58.24,45,0,4.18,clear sky,0.0,0
Ilulissat,GL,69.22,-51.1,46.4,65,20,5.82,few clouds,0.0,0
Tiznit,MA,29.58,-9.5,88.25,25,0,6.46,clear sky,0.0,0
Saquena,PE,-4.67,-73.52,81.77,88,67,2.21,moderate rain,2.75,0
Ketchikan,US,55.34,-131.65,57.2,71,75,6.93,broken clouds,0.0,0
Narsaq,GL,60.92,-46.05,68.0,16,20,12.75,few clouds,0.0,0
Awbari,LY,26.59,12.78,96.28,9,0,12.86,clear sky,0.0,0
Labuhan,ID,-6.88,112.21,77.7,79,24,6.89,few clouds,0.0,0
Sitka,US,57.05,-135.33,57.2,76,75,8.05,broken clouds,0.0,0
Burnie,AU,-41.07,145.92,46.0,80,90,5.01,overcast clouds,0.0,0
Bluff,NZ,-46.6,168.33,39.0,83,100,3.0,overcast clouds,0.0,0
Lorengau,PG,-2.02,147.27,82.94,74,41,6.87,light rain,0.11,0
Marawi,PH,8.0,124.29,73.0,96,94,4.0,overcast clouds,0.0,0
Leningradskiy,RU,69.38,178.42,49.71,58,36,7.0,scattered clouds,0.0,0
Krasnyy Yar,RU,46.53,48.35,77.0,50,0,6.71,clear sky,0.0,0
Gat,IL,31.61,34.76,82.0,82,0,5.48,clear sky,0.0,0
Busselton,AU,-33.65,115.33,54.0,55,82,15.77,broken clouds,0.0,0
Tazovskiy,RU,67.47,78.7,55.47,85,100,13.0,light rain,0.63,0
Yumen,CN,40.28,97.2,75.09,19,32,6.13,scattered clouds,0.0,0
Tuktoyaktuk,CA,69.45,-133.04,39.2,93,90,5.82,light rain,0.0,0
Solnechnyy,RU,50.72,136.63,67.57,57,85,6.33,overcast clouds,0.0,0
Gastonia,US,35.26,-81.19,93.0,43,20,2.93,few clouds,0.0,0
Khatanga,RU,71.97,102.5,47.35,62,0,10.87,clear sky,0.0,0
Tasiilaq,GL,65.61,-37.64,57.2,35,75,13.87,broken clouds,0.0,0
Ribeira Grande,PT,38.52,-28.7,71.6,83,40,5.82,scattered clouds,0.0,0
Kontagora,NG,10.4,5.47,81.32,79,61,4.79,heavy intensity rain,4.31,0
Camacha,PT,33.08,-16.33,69.8,68,40,18.34,scattered clouds,0.0,0
Emilio Carranza,MX,19.97,-96.61,86.31,60,0,7.47,clear sky,0.0,0
Wexford,IE,52.33,-6.46,57.99,100,75,19.46,fog,0.0,0
Fukue,JP,32.69,128.84,75.94,94,100,15.73,moderate rain,2.27,0
Faanui,PF,-16.48,-151.75,79.92,83,51,11.9,broken clouds,0.0,0
Rocha,UY,-34.48,-54.33,54.61,67,25,11.05,scattered clouds,0.0,0
Prado,BR,-17.34,-39.22,78.17,72,26,8.1,scattered clouds,0.0,0
Kalmunai,LK,7.42,81.82,80.87,74,100,8.25,light rain,0.25,0
Shu,KZ,43.6,73.76,65.26,47,9,3.18,clear sky,0.0,0
Embonas,GR,36.23,27.86,82.99,74,0,10.29,clear sky,0.0,0
Koumac,NC,-20.57,164.28,64.4,82,18,5.79,few clouds,0.0,0
Olafsvik,IS,64.89,-23.71,52.7,66,15,3.33,few clouds,0.0,0
Clinton,US,42.59,-82.92,91.0,55,40,8.05,scattered clouds,0.0,0
Hobart,AU,-42.88,147.33,44.6,65,90,12.75,overcast clouds,0.0,0
Glenwood Springs,US,39.55,-107.32,79.0,33,75,3.36,broken clouds,0.0,0
Batouri,CM,4.43,14.37,71.78,92,73,1.3,moderate rain,1.35,0
Severo-Kurilsk,RU,50.68,156.12,45.32,81,41,15.37,scattered clouds,0.0,0
Palmer,US,42.16,-72.33,73.4,88,90,4.7,light rain,0.76,0
Tanout,NE,14.97,8.89,101.1,14,71,7.14,broken clouds,0.0,0
Provideniya,RU,64.38,-173.3,49.32,63,33,3.49,scattered clouds,0.0,0
Waingapu,ID,-9.66,120.26,74.89,85,24,11.95,few clouds,0.0,0
Morondava,MG,-20.28,44.28,72.12,74,0,11.32,clear sky,0.0,0
Saint Anthony,US,45.02,-93.22,91.0,40,1,3.36,clear sky,0.0,0
Tarko-Sale,RU,64.92,77.78,60.01,94,100,14.7,light rain,0.57,0
Poum,NC,-20.23,164.02,69.84,72,26,14.7,scattered clouds,0.0,0
Richards Bay,ZA,-28.78,32.04,62.91,79,1,4.25,clear sky,0.0,0
Seabra,BR,-12.42,-41.77,80.35,45,69,6.4,broken clouds,0.0,0
Foumban,CM,5.73,10.9,67.15,95,99,1.88,moderate rain,2.18,0
Buraydah,SA,26.33,43.98,102.2,18,25,8.05,scattered clouds,0.0,0
Inuvik,CA,68.35,-133.72,39.2,100,90,12.75,light rain,0.0,0
Kruisfontein,ZA,-34.0,24.73,49.59,91,10,2.59,clear sky,0.0,0
Benguela,AO,-12.58,13.41,70.23,85,2,3.6,clear sky,0.0,0
Warrnambool,AU,-38.38,142.48,48.0,91,92,13.78,light rain,0.17,0
Alice Springs,AU,-23.7,133.88,44.6,62,100,7.58,overcast clouds,0.0,0
High Level,CA,58.52,-117.14,60.8,93,75,9.17,broken clouds,0.0,0
Monrovia,LR,6.3,-10.8,77.0,94,75,5.82,drizzle rain,0.0,0
Buenos Aires,AR,-34.61,-58.38,57.99,67,83,5.82,broken clouds,0.0,0
Lucea,JM,18.45,-78.17,87.8,74,20,21.92,few clouds,0.0,0
Tezu,IN,27.92,96.17,78.49,77,27,3.09,light rain,0.13,0
Pudozh,RU,61.81,36.53,61.61,60,88,6.51,overcast clouds,0.0,0
Lata,PT,40.16,-8.33,73.99,56,0,8.01,clear sky,0.0,0
Clyde River,CA,70.47,-68.59,53.6,62,75,14.99,broken clouds,0.0,0
Kapaa,US,22.08,-159.32,78.8,83,75,14.99,light rain,0.25,0
Avarua,CK,-21.21,-159.78,71.6,100,2,2.24,clear sky,0.0,0
Luganville,VU,-15.53,167.17,75.2,78,90,9.17,overcast clouds,0.0,0
Butaritari,KI,3.07,172.79,82.26,77,79,11.74,light rain,0.13,0
Loucovice,CZ,48.62,14.26,70.0,73,47,5.01,scattered clouds,0.0,0
Lagoa,PT,39.05,-27.98,69.13,87,28,8.01,scattered clouds,0.0,0
Benton,US,36.33,-94.33,91.0,52,1,3.36,clear sky,0.0,0
Soyo,AO,-6.13,12.37,73.26,82,24,9.86,few clouds,0.0,0
Tacuarembo,UY,-31.73,-55.98,54.77,60,0,6.4,clear sky,0.0,0
Tatarsk,RU,55.22,75.98,63.61,88,98,8.03,overcast clouds,0.0,0
Abnub,EG,27.27,31.15,95.0,26,0,11.41,clear sky,0.0,0
Bhuj,IN,23.27,69.67,87.49,72,87,16.4,overcast clouds,0.0,0
Kavieng,PG,-2.57,150.8,82.44,71,59,1.5,broken clouds,0.0,0
Saskylakh,RU,71.92,114.08,44.98,61,0,13.27,clear sky,0.0,0
Roma,US,43.21,-75.46,75.99,83,75,6.93,moderate rain,2.29,0
Saint-Philippe,RE,-21.36,55.77,69.8,68,75,6.93,broken clouds,0.0,0
Sibut,CF,5.72,19.07,73.45,91,93,3.09,overcast clouds,0.0,0
Qandala,SO,11.47,49.87,93.58,43,1,7.14,clear sky,0.0,0
Los Llanos De Aridane,ES,28.66,-17.92,73.4,73,40,18.34,scattered clouds,0.0,0
Minuri,PH,16.54,121.86,74.14,86,4,1.99,clear sky,0.0,0
Raudeberg,NO,61.99,5.14,54.0,58,40,4.7,scattered clouds,0.0,0
Coihaique,CL,-45.58,-72.07,44.6,56,20,4.7,few clouds,0.0,0
Sibu,MY,2.3,111.82,77.0,94,40,6.93,light rain,0.0,0
Jalingo,NG,8.88,11.37,80.28,81,89,5.1,overcast clouds,0.0,0
Ahuimanu,US,21.44,-157.84,79.0,65,40,3.36,scattered clouds,0.0,0
Paka,MY,4.64,103.44,78.8,94,100,2.24,moderate rain,2.93,0
Inirida,CO,3.87,-67.92,88.41,66,97,1.07,light rain,0.59,0
Morehead,US,37.27,-87.18,91.0,48,40,5.82,scattered clouds,0.0,0
Pitimbu,BR,-7.47,-34.81,78.8,83,75,2.24,broken clouds,0.0,0
Vostok,RU,46.49,135.88,52.3,78,0,4.88,clear sky,0.0,0
Pacific Grove,US,36.62,-121.92,71.01,72,40,8.05,scattered clouds,0.0,0
Kavaratti,IN,10.57,72.64,83.43,78,100,18.39,light rain,0.12,0
